year,month,day,url,title,letterId,question_only,question_id,afinn_overall,afinn_pos,afinn_neg,bing_pos
1985,1,01,proquest,WOMAN NEEDS HELP: HER BURDEN OF HOPELESSNESS IS TOO HEAVY TO CARRY,1,"i have been in a bad marriage for 40 years. i knew it was a mistake after the first year, but being a catholic, i accepted it as my cross. i bore eight children, hating every minute of it.
there was never enough money, so i started teaching school when my youngest was 4. i'm 60 now and feel like 85. i'm sick of marriage, sick of my family and sick of life in general.
suicide would cut off insurance and be hard on my family. is there a place where i can get some information on how to end my life and make it look like an accident?
every night i pray i won't wake up the next morning.
helpless in hell",1,-26,2,28,0
1985,1,01,proquest,WOMAN NEEDS HELP: HER BURDEN OF HOPELESSNESS IS TOO HEAVY TO CARRY,1,"this is for all newspaper carriers, mail carriers and delivery people: when you see a dog, barking and growling in front of someone's house, turn right around and forget that house.
today, a delivery boy tried to get up to our front door when he was confronted by our dog on a chain, growling and snapping frantically. the delivery boy didn't take the hint; instead he kept advancing, trying to get around the dog and up to our front door. had our dog been able to get to this boy, he could have done him serious damage.
abby, i'm really worried. i have heard that according to law, every dog is entitled to one bite, but if he bites twice, he has to be put to sleep. is that true?
loves my dog",2,-4,3,7,0.25
1985,1,02,proquest,LAMENT ABOUT OLD AGE AND SICKNESS IS ILL-ADVISED,1,"our 16-year-old son recently was placed in a state
facility because of many problems at home and with the law. we
try to be supportive and include him in the family as much as
possible.
do i include his name on our holiday greeting cards? he's
still a part of our family even though he doesn't live with us.
we don't want to leave him out, but neither do we want to give
an incorrect impression as to his residence.
in doubt",1,1,3,2,0.3333333333333333
1985,1,03,proquest,'NORMAL' WIDOW HAS AN EYE FOR THE GUYS,1,"i was a happy, respectable wife for 40 years, and now i'm a lonely, respectable widow. i work, join women's clubs, do good works and spend a lot of quiet evenings watching television.
do you know what i would like better than anything on earth? i'd like for my phone to ring right now, and hear a male voice say, ""i'll be by in 15 minutes to take you to dinner and a movie; then we'll go to my place and spend the night.""
in other words, at this late date, i'm plain boy crazy--more boy crazy than i ever was at 15.
very often when i see a nice-looking older man on the street, i wonder what it would be like to go out with him. and more.
my imagination just goes wild. i'm really ashamed of myself. please tell me, am i normal? what's wrong with me? do other widows have this problem? young at heart",1,-3,7,10,0.45454545454545453
1985,1,04,proquest,IT'S WISE TO BE WARY WHEN A STRANGER COMES TO THE DOOR,1,"you be the judge: last night about 7 p.m. i was relaxing in my tub when my doorbell rang. i wasn't expecting anybody, but i got out of the tub, wrapped a towel around me and peeked out my front window to see who it was. i saw a kid about 18 or 19 years old, holding a box. i assumed he was selling something, so i said nothing and went back to my tub because i was not about to open my door to a stranger.
the next morning my boss called me in and said, ""yesterday i asked you if you were going to be home that evening and you said yes, so how come you weren't home?"" i told him i was home. then he told me he had sent his son to my house with a fruitcake his wife had made for a christmas gift, but nobody answered the door.
i told him the truth--that i was home, my doorbell rang and i saw a kid on my porch but didn't want to open my door to a stranger.
he said his son drove clear across town for nothing; then he called me a ""paranoid dummy."" he really hurt my feelings, abby.
was i wrong to do what i did? or was my boss wrong for chewing me out? no name or town, please. i need this job.
being careful",1,-2,4,6,0
1985,1,04,proquest,IT'S WISE TO BE WARY WHEN A STRANGER COMES TO THE DOOR,1,"a further word about taking children out of school for dental appointments: you recommended against it, and i agree wholeheartedly. (teachers can't teach absent students any more than dentists can treat absent patients.)
then ""frustrated dentist"" said: ""i am a pedodontist, and my practice is totally limited to children and adolescents. if i were to follow your recommendation, i would have to schedule all my patients between the hours of 3 p.m. and 5 p.m daily. obviously, this is impossible.""
abby, that dentist missed the obvious solution. where is it written in concrete that 5 p.m. is quitting time? a dentist whose practice is limited to children should make his office hours between 3 p.m. and 9 p.m. plus all day saturday. that way, no school is missed and everyone is happy. simple, no?
bill mcc. in lexington",2,-1,7,8,0.4
1985,1,04,proquest,IT'S WISE TO BE WARY WHEN A STRANGER COMES TO THE DOOR,1,"first one grandma says, ""marriage is the price a man pays for sex, and sex is the price a woman pays for marriage.""
then another grandma says, ""men give love in order to get sex, and women give sex in order to get love--and marriage has nothing to do with it.""
my lover and i cannot marry because we are both men. our relationship is not based on the barter system. we're together because we love each other, and sex is a natural expression of that love--not a demand or a payment.
are heterosexuals missing something?
glad i'm gay",3,13,16,3,1
1985,1,04,proquest,IT'S WISE TO BE WARY WHEN A STRANGER COMES TO THE DOOR,1,"like a lot of other people, the only time i write to some of my friends is during the holidays. my problem is that my husband and i are in the process of getting a divorce. we have been married for a number of years and have no children (which makes it easier), but it's still hard.
how do i tell our friends? would it be proper to give them the news on a christmas card while wishing them a happy holiday? or should i just send a normal holiday card like all is well and write a separate note later? our divorce will not be final until february.
how to tell",4,3,4,1,0.75
1985,1,06,proquest,FRIENDLY JOGGER KNEW WHEN TO SLOW THE PACE,1,"it all started one day while i was walking to work. i saw this nice-looking man jogging, and we said hi to each other. every morning we'd exchange friendly hi's, and after about three months he started asking me questions, such as what was my name and where was i going. i answered him because i saw no harm in the questions he asked. i also asked him a few. he laughed and called himself a ""health nut."" then his questions started to get a little more personal. i always answered truthfully--like telling him i was married and had a 6-year-old son, but that didn't seem to bother him.
finally i invited him to come to my apartment anytime because my husband wasn't the jealous type. he said he'd think about it, but he'd come only if my husband was home.
well, i never saw him again, and i can't figure it out. will you please set me straight on what's happening here?
mixed up in mesa, ariz.",1,1,7,6,0.5
1985,1,06,proquest,FRIENDLY JOGGER KNEW WHEN TO SLOW THE PACE,1,"my son hasn't had a decent meal since he married a girl i'll call alice four years ago.
alice works from 7 a.m. to 2 p.m. she's home in plenty of time to fix dinner. my son gets off work at 6, comes right home, then the two of them go to some bar that serves snacks and nibbles. my son deserves better, but the fool never complains and says he's happy. how can a man be happy with a wife who's too lazy to heat up a can of soup or put a frozen tv dinner in the oven? should i tell her mother?
burned up in sarasota, fla.",2,1,6,5,0.375
1985,1,07,proquest,READERS RATE ROOM AND BOARD ADVICE,1,"concerning how much grown, employed children should pay for living at home: regardless of whether the parents need the money or not, their children need to learn responsibility. furthermore, parents who allow their children to live at home for free are teaching their children to be irresponsible.
i've seen grown children live at home for years, spending their earned money only on things to pamper themselves. consequently they never learn how to deal with responsibility in the real world.
how can parents not see this?
concerned in arizona",1,2,3,1,0.5
